id,displayed_text,gold_reference
912cd406dd6b3bd7d5d9bb7b1e98c890831b148c3d88e0c0319ce2cedae33f9d,"After enjoyable activities , like petting , play or talking , both dogs and humans feel a surge of chemicals in their bodies .","After activities such as petting , play or talking , both dogs and humans feel a rush of chemicals in their bodies ."
10371b585b150a09cf43120b1dc447114f94b56ce447eba00488c6ff9d054ac4,The National Institute of Anthropology and History said Monday that a team led by archaeologist Leonardo Lopez Lujan had discovered an 8.4-meter-long -LRB- 27-foot-long -RRB- tunnel leading into the center of a circular platform where dead rulers were believed to have been cremated .,The National Institute of Anthropology and History is a Mexican government department that researches Mexican history . They announced recently that a team had discovered a 27-foot-long -LRB- 8.4-meter -RRB- tunnel . The team was led by archaeologist Leonardo Lopez Lujan . The tunnel leads into the center of a circular platform . Dead rulers were believed to have been cremated at the site .
c48b8f0549cdbd6d54f5da82340cc99b2e92e6b2974b0481ed1ddc78cc95dd45,Sanders said he would like to see wealthy Americans and businesses pay more taxes .,"Rich Americans and big businesses should pay more taxes , he said ."
8e928489538945e4a437acf07d89c243e12822e31fb1a41ea32466be1bbb99ee,"The automotive industry here is still small compared with Detroit , and an increase of about 10,000 jobs has a small effect on the state 's large and diverse economy .","This number is still small when compared with Detroit , however . There are an estimated 326,000 automotive workers employed in Michigan ."
ee05e503a52aed4d2b8d55a62f16154ceb5eaebeabf344da4743ffc95aea7f36,The Japanese equivalent of the Peace Corps — Japan 's Overseas Cooperation Volunteers — will do the same .,The Japanese version of the Peace Corps — the Overseas Cooperation Volunteers — will do the same .
589424abfbe4ee5fecb65c5ea3ddc592d94de8334f9592fc23f9baeffdb61c6c," But in this collection , we hear more of that militant voice . ","However , Cannon said , "" in this collection , we hear more of that militant voice . """
db5a86d717d3e42ae420082345d30214dc9bb35b27ffa15953ac38a505fa9238,he yelled .,his father Russell yelled .
44c1065ee6928d965fa32fb91294071dcb78910e46b101871149cf9257f1213c,The songs appeared on the Billboard Hot 100 list from 1960 to 2010 .,The songs were from 1960 to 2010 .
2c9aa53338caf28b389dbf93f7a5607232a9344418ac904e4d90df905b9e8557,The response to the Paris attack should be to set the West on a path to dealing with the Middle East in a way that undermines the anti-Western attitudes that lead to indiscriminate violence of the kind we saw on the streets of Paris .,The response to the Paris attacks should be to set the West on a path to dealing with the Middle East . We must do so in a way that undermines the anti-Western attitudes that led to the violence we saw on the streets of Paris .
6215b6dc6acd3c4956db46e51c7e2ab196a52843e183660dc5d3a69bc7450c4f,"It 's really a good thing . ""","Hintch said sneaking in coding along with fun activities is "" really a good thing . """
c17dd00671c10c8ed819895739a174c4dba6733dbfa5e365d0697a00d3c56fa6,""" Being at Hopeworks makes me want to impart my skills , "" she said .",Gabrielle said that Hopeworks has helped her .
13ea6eea521cbb47b13b2778c4bd89f914fab6cb31caf52d85b7868dfdb7864c,"Many students said the Lovato concert was a good move for Clinton , but they were not all convinced .",Many students said the Lovato concert was a good move for Clinton . Not all of them were convinced .
6d4ccae1d65b9e33ac1253aed2e321aaa7ba4bdfcf19e37c966d9b0ba5e44a3f,"In the midst of it , rapper Common summarizes how words , melody and a protest merged during the civil-rights movement .",Music has been a big part of the struggle for civil rights for a long time .
9ec83328fbea94d7cdc4b92aba92f64abaa8727f6c0c99cc3b588b58bb8bb3f5,"He is the first to market a simplified version of the tool to the public , a project that , for now , is not dangerous .",Zayner is the first to sell a gene-changing tool to regular people . His set is not dangerous .
