,Average annot,Standard Deviation annot,Average gpt4_,Standard Deviation gpt4_
relevance,3.0,1.4142135623730951,4.58,0.5509990925582365
fluency,2.3333333333333335,1.1785113019775793,4.91,0.2861817604250837
coherence,2.5833333333333335,1.4976833963009524,4.5,0.6082762530298219
consistency,3.5833333333333335,1.114924013354971,4.82,0.4093897898091744
relevance_2,2.0,0.816496580927726,2.52,0.8541662601625047
fluency_2,2.9166666666666665,1.3202482931462383,4.71,0.667757440991862
coherence_2,2.5833333333333335,1.0374916331657278,2.56,0.7391887445030532
consistency_2,3.0833333333333335,1.3202482931462385,2.78,1.1625833303466895
relevance_3,4.083333333333333,0.8620067027323834,4.74,0.4386342439892261
fluency_3,4.416666666666667,0.6400954789890507,4.96,0.19595917942265426
coherence_3,4.333333333333333,0.7453559924999298,4.61,0.487749935930288
consistency_3,4.833333333333333,0.37267799624996495,4.74,0.4608687448721163
relevance_4,4.416666666666667,0.6400954789890507,4.7,0.458257569495584
fluency_4,4.5,0.6454972243679028,4.97,0.1705872210923198
coherence_4,4.583333333333333,0.6400954789890507,4.61,0.5271622141238881
consistency_4,4.833333333333333,0.37267799624996495,4.74,0.4608687448721163
