Model,Prompt,Temperature,Score
text-davinci-003,"Summarize the following text in 2-3 sentences while keeping the key information intact.
**Output only the final summary, without explanations or bullet points.**

Text: [...]",0.5,0.25526438381376526
text-davinci-003,"Summarize the following text in 2-3 sentences while keeping the key information intact.
**Output only the final summary, without explanations or bullet points.**

Text: [...]",0.7,0.2639637973925855
text-davinci-003,"Summarize the following text in 2-3 sentences while keeping the key information intact.
**Output only the final summary, without explanations or bullet points.**

Text: [...]",0.0,0.2600477698840143
text-davinci-003,"Provide a structured summary of the following text. Follow these steps internally but output only the final summary:

Step 1: Identify a suitable title based on the text.
Step 2: Extract the three most important key points.
Step 3: Generate a concise summary in 1-2 sentences using the key points.

**Important:** Do not include the title or key points in the output. Only return the final summary.

Text: [...]",0.5,0.223649671501352
text-davinci-003,"Provide a structured summary of the following text. Follow these steps internally but output only the final summary:

Step 1: Identify a suitable title based on the text.
Step 2: Extract the three most important key points.
Step 3: Generate a concise summary in 1-2 sentences using the key points.

**Important:** Do not include the title or key points in the output. Only return the final summary.

Text: [...]",0.7,0.23270134494702735
text-davinci-003,"Provide a structured summary of the following text. Follow these steps internally but output only the final summary:

Step 1: Identify a suitable title based on the text.
Step 2: Extract the three most important key points.
Step 3: Generate a concise summary in 1-2 sentences using the key points.

**Important:** Do not include the title or key points in the output. Only return the final summary.

Text: [...]",0.0,0.23516415861066195
text-davinci-003,"Generate a highly concise summary of the following text in a **single sentence** while preserving its main idea.
**Return only the final summary sentence, without any additional text.**

Text: [...]",0.5,0.2314815186861991
text-davinci-003,"Generate a highly concise summary of the following text in a **single sentence** while preserving its main idea.
**Return only the final summary sentence, without any additional text.**

Text: [...]",0.7,0.22697901174436383
text-davinci-003,"Generate a highly concise summary of the following text in a **single sentence** while preserving its main idea.
**Return only the final summary sentence, without any additional text.**

Text: [...]",0.0,0.22830144025871393
google/flan-ul2,Provide a summary of the following Text: [...] highlighting the key themes and arguments,0.5,0.12654381423301073
google/flan-ul2,Provide a summary of the following Text: [...] highlighting the key themes and arguments,0.7,0.11294286619375318
