Model,Prompt,Temperature,Score
facebook/opt-iml-max-30b,"Step 1: Identify the challenging words, phrases, or sentence structures in the text and explain why they might be difficult to understand.
Step 2: Rewrite the text in simpler language while ensuring that the original meaning is preserved.
Step 3: Verify that the rewritten version is clear and easy to understand.
**Important:** Provide only the final, simplified version.**

Text to simplify: [...]",0.5,48.70127073994425
facebook/opt-iml-max-30b,"Step 1: Identify the challenging words, phrases, or sentence structures in the text and explain why they might be difficult to understand.
Step 2: Rewrite the text in simpler language while ensuring that the original meaning is preserved.
Step 3: Verify that the rewritten version is clear and easy to understand.
**Important:** Provide only the final, simplified version.**

Text to simplify: [...]",0.7,48.70700867959976
facebook/opt-iml-max-30b,"Step 1: Identify the challenging words, phrases, or sentence structures in the text and explain why they might be difficult to understand.
Step 2: Rewrite the text in simpler language while ensuring that the original meaning is preserved.
Step 3: Verify that the rewritten version is clear and easy to understand.
**Important:** Provide only the final, simplified version.**

Text to simplify: [...]",0.01,48.67881205178441
facebook/opt-iml-max-30b,"Step 1: Rewrite the text below in a simpler and clearer way, while preserving its meaning.
Step 2: Analyze your simplified text and identify any remaining complex words or unclear structures.
Step 3: Improve the simplification by making it even more accessible. Ensure sentences are short, direct, and free of jargon.
**Important:** Output only the final refined version.

Text to simplify: [...]",0.5,48.29530779234589
facebook/opt-iml-max-30b,"Step 1: Rewrite the text below in a simpler and clearer way, while preserving its meaning.
Step 2: Analyze your simplified text and identify any remaining complex words or unclear structures.
Step 3: Improve the simplification by making it even more accessible. Ensure sentences are short, direct, and free of jargon.
**Important:** Output only the final refined version.

Text to simplify: [...]",0.7,48.286383470472366
facebook/opt-iml-max-30b,"Step 1: Rewrite the text below in a simpler and clearer way, while preserving its meaning.
Step 2: Analyze your simplified text and identify any remaining complex words or unclear structures.
Step 3: Improve the simplification by making it even more accessible. Ensure sentences are short, direct, and free of jargon.
**Important:** Output only the final refined version.

Text to simplify: [...]",0.01,48.26290101600355
facebook/opt-iml-max-30b,"Rewrite the text below so that it is easily understandable for a 8-year-old children.
Ensure that:
- Sentences are short and direct.
- Difficult words are replaced with simple alternatives.
- The overall meaning remains the same.

**Important:** Output only the final refined version.

Text to simplify: [...]",0.5,48.89310879275509
facebook/opt-iml-max-30b,"Rewrite the text below so that it is easily understandable for a 8-year-old children.
Ensure that:
- Sentences are short and direct.
- Difficult words are replaced with simple alternatives.
- The overall meaning remains the same.

**Important:** Output only the final refined version.

Text to simplify: [...]",0.7,48.89541604006239
facebook/opt-iml-max-30b,"Rewrite the text below so that it is easily understandable for a 8-year-old children.
Ensure that:
- Sentences are short and direct.
- Difficult words are replaced with simple alternatives.
- The overall meaning remains the same.

**Important:** Output only the final refined version.

Text to simplify: [...]",0.01,48.846587928771
facebook/opt-iml-max-30b,"Step 1: Identify any difficult words or phrases in the text.
Step 2: Replace them with simpler alternatives and rewrite the text in short sentences.**Important:** Provide only the simplified text.

Text to simplify: [...]",0.5,49.40081061684158
facebook/opt-iml-max-30b,"Step 1: Identify any difficult words or phrases in the text.
Step 2: Replace them with simpler alternatives and rewrite the text in short sentences.**Important:** Provide only the simplified text.

Text to simplify: [...]",0.7,49.450476582675115
facebook/opt-iml-max-30b,"Step 1: Identify any difficult words or phrases in the text.
Step 2: Replace them with simpler alternatives and rewrite the text in short sentences.**Important:** Provide only the simplified text.

Text to simplify: [...]",0.01,49.345721890795275
facebook/opt-iml-max-30b,"Generate TWO different simplified versions of the text below. Then pick the one that is simpler and clearer. **Important:** Output only your final chosen version.

Original text: [...]",0.5,49.472866018713034
facebook/opt-iml-max-30b,"Generate TWO different simplified versions of the text below. Then pick the one that is simpler and clearer. **Important:** Output only your final chosen version.

Original text: [...]",0.7,49.43305836535044
facebook/opt-iml-max-30b,"Generate TWO different simplified versions of the text below. Then pick the one that is simpler and clearer. **Important:** Output only your final chosen version.

Original text: [...]",0.01,49.503808638978036
google/flan-t5-xxl,"Step 1: Identify the challenging words, phrases, or sentence structures in the text and explain why they might be difficult to understand.
Step 2: Rewrite the text in simpler language while ensuring that the original meaning is preserved.
Step 3: Verify that the rewritten version is clear and easy to understand.
**Important:** Provide only the final, simplified version.**

Text to simplify: [...]",0.5,42.39973951097963
google/flan-t5-xxl,"Step 1: Identify the challenging words, phrases, or sentence structures in the text and explain why they might be difficult to understand.
Step 2: Rewrite the text in simpler language while ensuring that the original meaning is preserved.
Step 3: Verify that the rewritten version is clear and easy to understand.
**Important:** Provide only the final, simplified version.**

Text to simplify: [...]",0.7,41.03422007123245
google/flan-t5-xxl,"Step 1: Identify the challenging words, phrases, or sentence structures in the text and explain why they might be difficult to understand.
Step 2: Rewrite the text in simpler language while ensuring that the original meaning is preserved.
Step 3: Verify that the rewritten version is clear and easy to understand.
**Important:** Provide only the final, simplified version.**

Text to simplify: [...]",0.01,46.02563599249271
google/flan-t5-xxl,"Step 1: Rewrite the text below in a simpler and clearer way, while preserving its meaning.
Step 2: Analyze your simplified text and identify any remaining complex words or unclear structures.
Step 3: Improve the simplification by making it even more accessible. Ensure sentences are short, direct, and free of jargon.
**Important:** Output only the final refined version.

Text to simplify: [...]",0.5,41.85836223751241
google/flan-t5-xxl,"Step 1: Rewrite the text below in a simpler and clearer way, while preserving its meaning.
Step 2: Analyze your simplified text and identify any remaining complex words or unclear structures.
Step 3: Improve the simplification by making it even more accessible. Ensure sentences are short, direct, and free of jargon.
**Important:** Output only the final refined version.

Text to simplify: [...]",0.7,38.484628800716806
